Date,UT time,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow depth,Short-wave irradiation
2016-01-31,24:00:00,297.74,72.55,1010.74,3.06,59.43,13.946029,0,0,170963
2016-02-28,24:00:00,299.45,71.06,1009.88,2.69,107.39,2.492873,0,0,182501.8
2016-03-31,24:00:00,301.73,66.16,1007.89,3.41,147.34,1.715601,0,0,204075.6
2016-04-30,24:00:00,304.07,65.77,1004.72,4.98,168.98,7.21481,0,0,202835.4
2016-05-31,24:00:00,304.03,67.12,1002.19,2.83,204.27,181.687968,0,0,160831.2
2016-06-30,24:00:00,302.59,70.55,1001.28,3.59,248.8,101.858652,0,0,121039
2016-07-31,24:00:00,302.13,71.57,1001.72,3.84,235.88,95.0211,0,0,130881.3
2016-08-31,24:00:00,302.56,69.17,1001.49,3.44,246.09,130.198248,0,0,143279.9
2016-09-30,24:00:00,302.09,70.69,1002.54,2.48,238.35,90.005436,0,0,131507.1
2016-10-31,24:00:00,301.76,66.17,1004.73,0.51,21.04,37.016964,0,0,156139.1
2016-11-30,24:00:00,299.95,68.2,1007.68,3.84,38.49,22.304002,0,0,156254.7
2016-12-31,24:00:00,298.09,73.95,1008.4,3.56,34.02,66.584916,0,0,154904.3
2017-01-31,24:00:00,298.04,70.46,1009.86,4.17,50.43,13.97083,0,0,173094.9
2017-02-28,24:00:00,298.53,65.07,1010.01,2.77,83,1.006564,0,0,183766.8
2017-03-31,24:00:00,301.67,65.58,1006.7,3.6,147.55,25.568842,0,0,210039.2
2017-04-30,24:00:00,303.91,64.07,1004.06,4.54,169.82,9.454388,0,0,189004.4
2017-05-31,24:00:00,304.87,62.55,1002.28,3.37,188.71,42.405156,0,0,147967.3
2017-06-30,24:00:00,303.76,63.54,1001.31,3.55,233.2,134.271756,0,0,124660.3
2017-07-31,24:00:00,303.16,66.5,1001.76,2.88,244.36,111.613932,0,0,134242.9
2017-08-31,24:00:00,301.86,75.98,1001.36,2.8,236.56,209.133972,0,0,123538.4
2017-09-30,24:00:00,301.2,79.72,1003.25,2.36,214.28,296.1549,0,0,114226.7
2017-10-31,24:00:00,300.99,79.52,1004.04,0.11,81.25,208.413036,0,0,119638.7
2017-11-30,24:00:00,299.68,82.87,1006.01,4.54,29.77,240.482088,0,0,123765.9
2017-12-31,24:00:00,298.19,76.23,1009,4.32,40.01,10.676531,0,0,159027.5
2018-01-31,24:00:00,297.34,72.83,1008.46,3.87,47.38,7.255001,0,0,171469.4
2018-02-28,24:00:00,298.47,69.76,1009.32,3.14,69.5,4.69724,0,0,162402.5
2018-03-31,24:00:00,301.06,66.4,1006.69,2.71,132.38,10.421791,0,0,201809.9
2018-04-30,24:00:00,303.57,65.2,1004.55,4.1,153.24,16.333178,0,0,196904
2018-05-31,24:00:00,303.97,67.84,1002.23,3.95,172.87,62.06814,0,0,135934.1
2018-06-30,24:00:00,303.49,64.85,1000.69,3.87,232.25,93.870756,0,0,124482.4
2018-07-31,24:00:00,303.18,64.49,1000.58,4.41,242.86,83.087424,0,0,134515.5
2018-08-31,24:00:00,302.74,66.69,1001.21,3.7,253.83,128.697048,0,0,132044
2018-09-30,24:00:00,301.87,72.7,1003.86,1.62,194.64,112.450824,0,0,138951.1
2018-10-31,24:00:00,300.97,75.51,1006.36,2,56.69,99.716976,0,0,146442.6
2018-11-30,24:00:00,299.93,76.05,1008.17,4.17,51.51,71.841708,0,0,150068
2018-12-31,24:00:00,298.36,77.58,1009.12,4.28,37.22,127.384344,0,0,151135.4
2019-01-31,24:00:00,297.38,71,1011.03,4.06,53.76,2.139227,0,0,171754.8
2019-02-28,24:00:00,299.93,69.11,1009.54,3.09,93.25,4.732657,0,0,177960.5
2019-03-31,24:00:00,302.15,62.84,1007.47,3.8,145.12,2.634241,0,0,219796.4
2019-04-30,24:00:00,303.87,62.96,1004.86,4.07,156.44,12.508351,0,0,209052.8
2019-05-31,24:00:00,304.49,67.48,1002.29,4.55,180.46,55.970316,0,0,134821.8
2019-06-30,24:00:00,304.5,64.39,1000.71,3.38,204.24,106.119756,0,0,118010.8
2019-07-31,24:00:00,302.9,68.7,1001.32,3.82,223.35,182.49354,0,0,120371.4
2019-08-31,24:00:00,301.85,73.52,1001.84,4.32,231.73,262.527804,0,0,125530.4
